Unnamed: 0,weather_condition,lighting_condition,trafficway_type,roadway_surface_cond,road_defect,crash_hour,crash_day_of_week,crash_month,crash_hour_sin,crash_hour_cos,crash_day_sin,crash_day_cos,crash_month_sin,crash_month_cos,crash_type,intersection_related_i
55135,1.0,3.0,3.0,1.0,1.0,17,3,1,0.03407417371093169,0.7411809548974794,1.4338837391175583,0.09903113209758097,1.5,1.8660254037844388,1,1
99954,1.0,1.0,3.0,1.0,1.0,10,6,12,1.5,0.1339745962155613,0.21816851753197009,1.6234898018587334,0.9999999999999998,2.0,2,1
44858,1.0,1.0,1.0,1.0,1.0,16,4,8,0.13397459621556151,0.49999999999999956,0.5661162608824419,0.09903113209758085,0.13397459621556151,0.49999999999999956,2,1
176315,1.0,2.0,3.0,1.0,1.0,17,1,2,0.03407417371093169,0.7411809548974794,1.78183148246803,1.6234898018587336,1.8660254037844386,1.5,2,1
18226,1.0,1.0,3.0,1.0,1.0,17,1,8,0.03407417371093169,0.7411809548974794,1.78183148246803,1.6234898018587336,0.13397459621556151,0.49999999999999956,1,1
207213,2.0,3.0,1.0,2.0,1.0,18,3,12,0.0,0.9999999999999998,1.4338837391175583,0.09903113209758097,0.9999999999999998,2.0,2,1
151113,1.0,1.0,2.0,2.0,1.0,14,6,10,0.5000000000000002,0.13397459621556118,0.21816851753197009,1.6234898018587334,0.1339745962155614,1.5,1,1
116977,1.0,1.0,2.0,1.0,1.0,7,4,8,1.9659258262890682,0.7411809548974794,0.5661162608824419,0.09903113209758085,0.13397459621556151,0.49999999999999956,1,1
74205,1.0,1.0,1.0,1.0,1.0,9,7,1,1.7071067811865475,0.29289321881345254,0.9999999999999998,2.0,1.5,1.8660254037844388,2,1
20333,1.0,1.0,1.0,1.0,1.0,19,7,5,0.03407417371093158,1.2588190451025203,0.9999999999999998,2.0,1.5,0.1339745962155613,2,1
198487,1.0,3.0,2.0,1.0,1.0,20,1,8,0.1339745962155614,1.5,1.78183148246803,1.6234898018587336,0.13397459621556151,0.49999999999999956,1,1
124989,1.0,1.0,2.0,1.0,1.0,16,4,4,0.13397459621556151,0.49999999999999956,0.5661162608824419,0.09903113209758085,1.8660254037844388,0.5000000000000002,1,1
146275,1.0,1.0,1.0,1.0,1.0,12,1,12,1.0000000000000002,0.0,1.78183148246803,1.6234898018587336,0.9999999999999998,2.0,1,1
192520,1.0,1.0,3.0,1.0,1.0,12,6,9,1.0000000000000002,0.0,0.21816851753197009,1.6234898018587334,0.0,0.9999999999999998,2,1
158824,1.0,1.0,1.0,1.0,1.0,17,2,9,0.03407417371093169,0.7411809548974794,1.9749279121818235,0.7774790660436857,0.0,0.9999999999999998,2,1
151812,3.0,3.0,2.0,3.0,1.0,20,7,1,0.1339745962155614,1.5,0.9999999999999998,2.0,1.5,1.8660254037844388,1,1
126068,2.0,1.0,2.0,2.0,1.0,11,1,10,1.258819045102521,0.0340741737109318,1.78183148246803,1.6234898018587336,0.1339745962155614,1.5,1,1
170115,2.0,1.0,3.0,2.0,1.0,14,7,8,0.5000000000000002,0.13397459621556118,0.9999999999999998,2.0,0.13397459621556151,0.49999999999999956,1,1
43080,1.0,1.0,1.0,1.0,1.0,7,3,11,1.9659258262890682,0.7411809548974794,1.4338837391175583,0.09903113209758097,0.49999999999999956,1.8660254037844384,2,1
161110,1.0,1.0,3.0,1.0,1.0,18,2,7,0.0,0.9999999999999998,1.9749279121818235,0.7774790660436857,0.5000000000000002,0.13397459621556118,1,1
