Airline,Cancelled,CRSDepTime,CRSElapsedTime,Distance,Quarter,Month,DayofMonth,DayOfWeek,OriginAirportID,OriginStateName,OriginWac,DestAirportID,DestStateName,DestWac,CRSArrTime,DistanceGroup
7,False,1705,120.0,674.0,2,6,2,4,10397,8,34,15370,34,73,1805,3
9,False,1618,71.0,179.0,2,4,11,1,12884,20,43,13930,11,41,1629,1
7,False,810,80.0,321.0,1,2,1,2,10397,8,34,14730,15,52,930,2
4,False,1835,57.0,118.0,3,7,18,1,11057,31,36,11641,31,36,1932,1
17,False,906,189.0,1201.0,3,7,11,1,13931,47,38,12266,42,74,1115,5
17,False,1029,91.0,334.0,1,3,31,4,13487,21,63,13930,11,41,1200,2
20,False,1903,167.0,964.0,3,7,15,5,13303,7,33,12266,42,74,2050,4
18,False,1200,165.0,1218.0,1,1,18,2,12191,42,74,11278,47,38,1545,5
14,False,1410,319.0,2422.0,2,6,21,2,14747,48,93,12478,30,22,2229,10
20,True,1500,161.0,733.0,3,7,8,5,12953,30,22,13930,11,41,1641,3
8,False,810,131.0,544.0,2,6,28,2,12953,30,22,11057,31,36,1021,3
20,False,1423,306.0,2227.0,2,6,3,5,12889,26,85,11618,28,21,2229,9
4,False,1104,108.0,554.0,2,5,4,3,15412,41,54,14100,36,23,1252,3
7,False,2246,53.0,151.0,2,6,25,6,10397,8,34,12217,0,51,2239,1
0,False,738,125.0,510.0,2,5,5,4,12217,0,51,13930,11,41,943,3
8,False,545,62.0,220.0,2,5,19,4,11003,13,61,13487,21,63,647,1
2,False,810,138.0,912.0,1,2,28,1,14112,7,33,13230,36,23,1028,4
1,False,745,160.0,1024.0,2,5,27,5,14747,48,93,11292,5,82,1125,5
1,False,1950,152.0,1009.0,2,4,1,5,14057,35,92,14107,2,81,2222,5
17,False,2045,95.0,461.0,1,3,29,2,11298,42,74,12206,42,74,2220,2
9,False,625,64.0,147.0,3,7,26,2,11274,13,61,13930,11,41,729,1
18,False,1350,310.0,2417.0,2,4,4,1,12173,9,2,14831,4,91,2200,10
18,False,1925,160.0,994.0,3,7,30,6,13204,7,33,10423,42,74,2105,4
19,False,1324,120.0,628.0,2,4,17,7,11292,5,82,12889,26,85,1424,3
8,False,1459,90.0,184.0,3,7,16,6,12478,30,22,10821,18,35,1629,1
20,False,600,126.0,708.0,3,7,4,1,14685,8,34,11618,28,21,806,3
19,False,600,128.0,700.0,2,5,10,2,14492,31,36,13303,7,33,808,3
17,False,1051,79.0,284.0,1,3,18,5,11898,32,66,13487,21,63,1210,2
17,False,1600,165.0,954.0,3,7,2,6,12892,4,91,14747,48,93,1845,4
18,False,1305,105.0,580.0,2,5,7,6,10140,29,86,11259,42,74,1550,3
18,False,825,90.0,328.0,2,6,18,6,11057,31,36,10693,41,54,855,2
3,False,1250,224.0,1303.0,2,4,19,2,14100,36,23,11298,42,74,1534,6
3,False,1635,248.0,1744.0,2,6,9,4,12892,4,91,13930,11,41,2243,7
18,False,1050,165.0,926.0,2,4,20,3,11057,31,36,11259,42,74,1235,4
1,False,1535,115.0,543.0,3,7,21,4,10849,24,84,14747,48,93,1630,3
17,False,1345,66.0,255.0,2,5,11,3,13487,21,63,12343,21,63,1451,2
20,False,1130,301.0,2288.0,1,2,15,2,12892,4,91,12264,47,38,1931,10
18,False,540,95.0,442.0,2,5,8,7,14492,31,36,10693,41,54,615,2
3,False,2017,124.0,651.0,3,7,17,7,14107,2,81,14771,4,91,2221,3
7,False,1542,128.0,666.0,2,5,1,7,14100,36,23,10397,8,34,1750,3
5,False,2213,106.0,408.0,1,3,1,2,11278,47,38,10868,39,37,2359,2
18,False,1025,80.0,325.0,2,5,28,6,10800,4,91,13796,4,91,1145,2
20,False,911,245.0,1635.0,2,6,10,5,14771,4,91,12266,42,74,1516,7
2,False,730,131.0,825.0,1,2,20,7,11423,13,61,12191,42,74,941,4
18,False,1015,135.0,764.0,2,6,1,3,10693,41,54,12953,30,22,1330,4
16,True,1706,129.0,814.0,1,2,4,5,15016,23,64,14100,36,23,2015,4
14,False,750,85.0,337.0,1,1,21,5,14771,4,91,12892,4,91,915,2
20,False,835,100.0,421.0,2,5,4,3,14771,4,91,14262,4,91,1015,2
