crash_date,traffic_control_device,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,crash_type,intersection_related_i,damage,prim_contributory_cause,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,crash_hour,crash_day_of_week,crash_month
2379,16,2,1,0,6,3,4,1,0,1,2,37,2,2,0.0,0.0,0.0,0.0,0.0,2.0,23,1,1
94510,15,11,0,17,18,3,5,1,1,1,2,18,2,2,0.0,0.0,0.0,0.0,0.0,2.0,23,7,7
29991,16,2,3,0,6,3,0,1,1,1,1,6,2,2,0.0,0.0,0.0,0.0,0.0,5.0,12,7,3
157748,16,2,0,15,3,3,0,1,1,1,2,36,2,2,0.0,0.0,0.0,0.0,0.0,3.0,18,5,11
24760,16,2,3,15,8,3,0,1,1,1,2,12,2,2,0.0,0.0,0.0,0.0,0.0,2.0,15,4,2
146335,16,11,3,17,6,3,5,5,1,1,2,24,2,2,0.0,0.0,0.0,0.0,0.0,2.0,11,3,10
149324,4,2,3,17,2,3,0,1,1,1,2,36,2,2,0.0,0.0,0.0,0.0,0.0,2.0,16,2,10
78756,16,7,3,10,8,3,6,5,1,0,2,36,2,2,0.0,0.0,0.0,0.0,0.0,3.0,14,4,6
57865,16,2,3,0,6,3,0,1,0,1,2,36,2,2,0.0,0.0,0.0,0.0,0.0,4.0,14,7,5
131194,16,2,3,17,6,3,0,5,1,1,2,22,2,2,0.0,0.0,0.0,0.0,0.0,2.0,8,5,9
104370,16,2,1,17,8,3,0,1,0,0,2,36,3,4,1.0,0.0,0.0,0.0,1.0,1.0,23,2,8
1840,16,2,3,7,8,3,0,1,1,1,2,36,2,2,0.0,0.0,0.0,0.0,0.0,1.0,15,5,1
48996,16,2,3,17,8,3,0,1,1,1,2,26,2,2,0.0,0.0,0.0,0.0,0.0,2.0,12,2,4
38192,15,10,4,17,8,3,6,1,0,1,2,18,2,3,2.0,0.0,0.0,1.0,1.0,1.0,20,1,3
118848,16,7,3,15,10,3,6,1,1,1,2,36,2,2,0.0,0.0,0.0,0.0,0.0,2.0,14,3,8
124823,16,7,3,10,8,3,6,5,1,1,2,19,2,2,0.0,0.0,0.0,0.0,0.0,2.0,8,6,9
176038,16,2,1,15,8,3,0,1,1,1,2,18,2,2,0.0,0.0,0.0,0.0,0.0,2.0,20,6,12
47527,16,7,3,17,6,3,6,1,0,1,2,18,2,2,0.0,0.0,0.0,0.0,0.0,2.0,15,6,4
20427,15,2,4,0,10,3,0,1,1,1,2,36,2,2,0.0,0.0,0.0,0.0,0.0,4.0,17,7,2
77642,16,2,1,8,8,3,0,1,0,1,2,6,2,3,1.0,0.0,0.0,1.0,0.0,1.0,22,2,6
34665,15,2,3,0,6,3,0,1,1,1,2,5,2,2,0.0,0.0,0.0,0.0,0.0,2.0,16,3,3
133466,16,2,3,10,6,3,0,1,1,1,2,19,2,2,0.0,0.0,0.0,0.0,0.0,2.0,6,7,9
92336,16,2,1,10,8,3,0,5,1,1,2,36,2,2,0.0,0.0,0.0,0.0,0.0,5.0,0,1,7
128887,16,2,3,17,2,3,0,5,1,1,1,19,2,2,0.0,0.0,0.0,0.0,0.0,2.0,12,1,9
108164,16,2,3,3,6,3,0,1,0,1,2,18,2,3,1.0,0.0,0.0,1.0,0.0,1.0,6,5,8
112309,16,2,3,17,6,3,0,1,1,1,2,24,2,2,0.0,0.0,0.0,0.0,0.0,5.0,10,3,8
181457,16,2,1,10,6,3,0,1,1,1,2,19,2,2,0.0,0.0,0.0,0.0,0.0,2.0,17,3,12
14410,16,2,3,0,6,3,0,1,0,1,2,6,2,3,1.0,0.0,0.0,1.0,0.0,4.0,9,7,1
119397,16,4,3,17,10,3,0,1,1,1,1,24,2,2,0.0,0.0,0.0,0.0,0.0,4.0,7,1,8
8295,16,2,3,10,8,3,0,1,1,0,1,19,2,2,0.0,0.0,0.0,0.0,0.0,2.0,7,6,1
9201,16,6,0,8,2,3,6,1,0,1,0,1,2,4,1.0,0.0,0.0,0.0,1.0,1.0,18,6,1
55581,16,2,3,17,8,3,0,1,0,1,2,36,2,3,1.0,0.0,0.0,1.0,0.0,2.0,17,2,4
144299,16,2,1,10,8,3,0,1,0,1,2,17,4,2,0.0,0.0,0.0,0.0,0.0,6.0,23,2,10
115873,16,2,3,17,6,3,0,1,0,1,2,24,2,2,0.0,0.0,0.0,0.0,0.0,2.0,16,2,8
176663,15,3,3,10,8,3,6,5,1,1,1,13,2,2,0.0,0.0,0.0,0.0,0.0,2.0,15,2,12
15156,4,2,1,17,1,3,0,1,1,1,2,18,2,2,0.0,0.0,0.0,0.0,0.0,2.0,0,5,2
153348,16,2,0,15,2,3,0,1,0,1,2,24,2,2,0.0,0.0,0.0,0.0,0.0,5.0,0,1,10
83151,16,2,3,10,3,3,0,5,1,1,2,36,2,2,0.0,0.0,0.0,0.0,0.0,3.0,15,5,6
166216,4,2,3,7,8,3,0,1,0,1,2,36,2,2,0.0,0.0,0.0,0.0,0.0,1.0,15,6,11
160571,16,2,1,17,10,3,0,1,0,1,2,24,2,2,0.0,0.0,0.0,0.0,0.0,2.0,19,3,11
128326,16,2,3,10,8,3,0,1,1,1,1,36,2,2,0.0,0.0,0.0,0.0,0.0,2.0,14,5,9
78243,17,2,3,17,2,3,5,5,1,1,0,18,2,2,0.0,0.0,0.0,0.0,0.0,2.0,17,4,6
51044,16,7,1,9,18,3,6,1,1,1,2,36,2,2,0.0,0.0,0.0,0.0,0.0,2.0,19,4,4
68378,15,2,1,0,8,3,0,5,0,1,2,17,2,2,0.0,0.0,0.0,0.0,0.0,2.0,20,3,5
164203,16,2,3,10,8,3,0,1,1,1,2,36,2,2,0.0,0.0,0.0,0.0,0.0,4.0,12,2,11
165165,16,2,3,15,8,3,0,1,0,1,2,26,2,2,0.0,0.0,0.0,0.0,0.0,2.0,13,6,11
99817,16,2,1,17,8,3,0,1,0,1,2,22,2,4,2.0,0.0,0.0,0.0,2.0,1.0,22,3,7
77832,4,2,3,0,8,3,0,1,1,1,1,18,2,2,0.0,0.0,0.0,0.0,0.0,3.0,17,6,6
7458,16,2,1,17,2,3,0,1,1,1,1,36,2,2,0.0,0.0,0.0,0.0,0.0,2.0,17,2,1
121897,4,2,3,2,10,3,0,1,0,1,2,30,1,0,1.0,1.0,0.0,0.0,0.0,0.0,12,5,9
79051,15,2,3,0,6,3,0,1,0,1,2,5,2,2,0.0,0.0,0.0,0.0,0.0,2.0,19,2,6
8485,16,2,2,10,8,3,0,1,1,1,0,18,2,2,0.0,0.0,0.0,0.0,0.0,2.0,15,4,1
106172,16,2,1,0,8,3,0,1,0,1,2,6,2,3,1.0,0.0,0.0,1.0,0.0,3.0,3,7,8
158595,15,7,1,0,6,3,6,1,1,1,2,36,2,2,0.0,0.0,0.0,0.0,0.0,2.0,12,3,11
108225,16,2,3,17,8,3,0,1,0,1,2,22,2,2,0.0,0.0,0.0,0.0,0.0,2.0,13,4,8
39684,16,7,3,17,6,3,6,1,1,1,1,24,2,2,0.0,0.0,0.0,0.0,0.0,2.0,15,2,3
102465,15,2,3,14,2,3,0,1,0,1,2,23,2,2,0.0,0.0,0.0,0.0,0.0,8.0,12,1,7
150482,16,2,3,15,8,4,0,1,1,1,1,22,2,2,0.0,0.0,0.0,0.0,0.0,3.0,8,3,10
15560,15,7,3,0,11,3,6,1,1,1,2,18,2,2,0.0,0.0,0.0,0.0,0.0,6.0,14,3,2
104313,16,2,1,17,2,3,0,5,1,1,2,17,2,2,0.0,0.0,0.0,0.0,0.0,2.0,0,1,8
6069,15,2,0,17,8,3,0,1,1,1,2,5,2,2,0.0,0.0,0.0,0.0,0.0,3.0,22,7,1
33256,17,11,5,10,8,3,5,5,1,1,2,36,2,2,0.0,0.0,0.0,0.0,0.0,2.0,19,7,3
73878,16,2,3,17,8,3,0,1,1,1,1,36,2,2,0.0,0.0,0.0,0.0,0.0,2.0,14,2,6
159750,15,2,1,17,2,3,0,1,0,1,2,18,2,3,1.0,0.0,0.0,1.0,0.0,1.0,5,4,11
180120,4,2,3,10,2,3,0,1,1,1,2,17,2,2,0.0,0.0,0.0,0.0,0.0,3.0,7,5,12
180141,16,2,3,10,2,3,0,1,1,1,0,21,2,2,0.0,0.0,0.0,0.0,0.0,2.0,14,6,12
167710,16,2,1,0,10,3,0,1,0,1,2,6,2,3,1.0,0.0,0.0,1.0,0.0,1.0,17,5,11
26848,4,2,3,10,8,3,4,1,1,1,1,19,2,2,0.0,0.0,0.0,0.0,0.0,2.0,15,4,2
107288,16,2,1,10,8,3,0,1,1,1,1,8,3,2,0.0,0.0,0.0,0.0,0.0,3.0,20,3,8
66473,16,2,3,17,6,3,0,1,1,1,2,18,2,2,0.0,0.0,0.0,0.0,0.0,2.0,15,3,5
143959,16,2,3,7,3,3,0,1,0,1,2,30,2,3,1.0,0.0,0.0,1.0,0.0,0.0,7,6,10
5812,16,2,3,17,8,3,0,1,1,1,1,36,2,2,0.0,0.0,0.0,0.0,0.0,2.0,15,5,1
37852,16,2,3,17,6,3,0,1,1,1,2,36,2,2,0.0,0.0,0.0,0.0,0.0,2.0,7,2,3
154456,16,2,0,8,8,3,0,1,0,1,0,36,2,3,1.0,0.0,0.0,1.0,0.0,1.0,18,1,10
61421,15,2,3,10,6,3,0,1,1,1,2,17,2,2,0.0,0.0,0.0,0.0,0.0,2.0,16,5,5
113047,16,2,3,15,3,3,0,5,0,1,2,22,2,1,2.0,0.0,2.0,0.0,0.0,1.0,16,6,8
